               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.012861,           0.0056326,           0.0012181,             0.99238,                0.98,             0.99425,             0.81539,             0.01582,           0.0064195,           0.0013063,            0.003268,            0.003268,            0.003268
                  36,            0.012667,           0.0054911,           0.0012325,             0.99557,             0.97381,             0.99365,               0.826,            0.015341,           0.0065778,           0.0012311,             0.00307,             0.00307,             0.00307
                  37,            0.012404,           0.0054714,           0.0011997,             0.99583,             0.98222,              0.9941,             0.82699,            0.015212,            0.006346,           0.0012317,            0.002872,            0.002872,            0.002872
                  38,            0.012038,           0.0053864,           0.0011708,              0.9914,             0.98444,             0.99398,             0.82006,            0.015319,           0.0062381,           0.0011902,            0.002674,            0.002674,            0.002674
                  39,            0.011824,           0.0053117,           0.0011631,             0.98951,               0.985,             0.99393,             0.82408,            0.015179,           0.0063661,           0.0011657,            0.002476,            0.002476,            0.002476
                  40,            0.011301,           0.0052266,           0.0010732,               0.996,              0.9804,              0.9937,              0.8304,            0.015134,           0.0063603,           0.0011464,            0.002278,            0.002278,            0.002278
                  41,            0.010943,           0.0050948,           0.0011154,             0.99446,             0.98444,              0.9941,             0.83629,            0.014848,           0.0061857,           0.0011105,             0.00208,             0.00208,             0.00208
                  42,            0.010776,           0.0050281,           0.0011213,             0.99603,             0.98444,             0.99417,             0.83241,            0.014825,           0.0062015,           0.0011036,            0.001882,            0.001882,            0.001882
                  43,            0.010506,           0.0048507,           0.0011493,              0.9945,             0.98667,             0.99456,             0.83595,              0.0148,           0.0062251,             0.00111,            0.001684,            0.001684,            0.001684
                  44,            0.010207,           0.0047614,           0.0010763,             0.99335,             0.98944,             0.99469,             0.83436,            0.014629,           0.0060725,           0.0010546,            0.001486,            0.001486,            0.001486
                  45,           0.0099413,           0.0047852,           0.0011039,             0.99285,             0.99333,              0.9947,             0.83605,            0.014474,           0.0061598,            0.001031,            0.001288,            0.001288,            0.001288
                  46,           0.0095315,            0.004726,          0.00097483,               0.991,             0.99167,             0.99468,             0.83663,            0.014464,           0.0062287,           0.0010321,             0.00109,             0.00109,             0.00109
                  47,           0.0095651,           0.0045394,           0.0010364,             0.99295,             0.98907,             0.99453,             0.83994,            0.014454,           0.0062179,           0.0010495,            0.000892,            0.000892,            0.000892
                  48,           0.0095034,           0.0045591,           0.0010327,             0.99374,             0.99298,             0.99473,             0.84241,            0.014286,           0.0061262,           0.0010241,            0.000694,            0.000694,            0.000694
                  49,           0.0094909,           0.0045858,           0.0010604,             0.99391,             0.99486,             0.99474,             0.83971,            0.014343,           0.0062242,            0.001021,            0.000496,            0.000496,            0.000496
